,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
2959,148,108,-1,0.5,-0.5,-0.25,0.5,0.25
2960,172,305,0,0.5,0.5,0.25,0.0,0.0
2961,144,405,0,0.5,0.5,0.25,0.0,0.0
2962,154,404,0,0.5,0.5,0.25,0.0,0.0
2963,172,304,0,0.5,0.5,0.25,0.0,0.0
2964,175,402,0,0.5,0.5,0.25,0.0,0.0
2965,167,104,0,0.5,-0.5,-0.25,0.5,0.25
2966,148,403,0,0.5,0.5,0.25,0.0,0.0
2967,144,107,-1,0.5,-0.5,-0.25,0.5,0.25
2968,172,201,0,0.5,-0.5,-0.25,-0.5,-0.25
2969,167,307,0,0.5,0.5,0.25,0.0,0.0
2970,175,102,-1,0.5,-0.5,-0.25,0.5,0.25
2971,148,304,0,0.5,0.5,0.25,0.0,0.0
2972,144,307,0,0.5,0.5,0.25,0.0,0.0
