,trial,score_dif,userid,gridtype,gridnum
56741,5,1.0,95,Switch,201
56915,2,1.0,53,Switch,202
56921,8,1.0,46,Switch,207
57011,7,1.0,37,Switch,205
57197,4,1.0,28,Switch,208
57233,6,1.0,95,Switch,208
57251,2,1.0,62,Switch,204
57263,4,1.0,56,Switch,207
57449,6,1.0,48,Switch,205
57977,6,1.0,41,Switch,205
58133,8,1.0,37,Switch,201
58163,8,1.0,79,Switch,201
58235,7,1.0,83,Switch,201
58367,5,1.0,38,Switch,203
58427,4,1.0,84,Switch,207
58511,7,1.0,41,Switch,207
58697,5,1.0,28,Switch,206
58955,5,1.0,81,Switch,206
58961,2,1.0,67,Switch,202
59027,6,1.0,86,Switch,204
59105,3,1.0,53,Switch,201
59141,8,1.0,34,Switch,208
59327,5,0.0,78,Switch,206
59363,6,1.0,38,Switch,202
59387,6,1.0,28,Switch,205
59483,1,1.0,29,Switch,206
59591,8,1.0,76,Switch,203
59615,6,1.0,81,Switch,204
59801,5,1.0,56,Switch,204
59807,6,1.0,78,Switch,207
59897,7,1.0,28,Switch,202
59921,7,1.0,36,Switch,207
60065,5,1.0,84,Switch,203
60095,1,1.0,77,Switch,204
60131,7,1.0,81,Switch,203
60137,2,1.0,65,Switch,208
60143,7,1.0,48,Switch,208
60287,6,1.0,56,Switch,208
60437,1,1.0,97,Switch,201
60503,6,1.0,84,Switch,205
60545,8,1.0,28,Switch,204
60575,3,1.0,62,Switch,205
60635,7,1.0,95,Switch,205
60719,6,1.0,30,Switch,205
60731,3,1.0,67,Switch,201
60773,1,1.0,7,Switch,208
60839,1,1.0,80,Switch,207
60863,6,1.0,94,Switch,203
60959,1,1.0,33,Switch,208
61241,3,1.0,65,Switch,206
61283,7,0.0,78,Switch,204
61337,7,1.0,56,Switch,206
61373,8,1.0,83,Switch,205
61427,7,1.0,86,Switch,205
61439,1,1.0,75,Switch,205
61601,8,1.0,48,Switch,201
61637,7,1.0,38,Switch,207
61805,7,1.0,30,Switch,207
61817,1,1.0,44,Switch,206
61823,2,1.0,80,Switch,203
61835,8,1.0,56,Switch,203
62105,8,1.0,36,Switch,205
62237,8,0.0,78,Switch,205
62291,7,1.0,84,Switch,208
62327,3,1.0,80,Switch,201
62351,8,1.0,38,Switch,208
62411,3,1.0,63,Switch,201
62483,2,1.0,68,Switch,201
62573,5,1.0,22,Switch,203
62699,8,1.0,81,Switch,207
62747,4,1.0,80,Switch,202
62831,1,1.0,91,Switch,206
62861,2,1.0,33,Switch,206
62897,2,1.0,77,Switch,202
63047,4,1.0,67,Switch,204
63191,4,1.0,62,Switch,202
63209,7,1.0,94,Switch,205
63281,8,1.0,41,Switch,204
63305,2,1.0,75,Switch,206
63341,2,1.0,29,Switch,207
63377,4,1.0,63,Switch,203
63431,3,1.0,77,Switch,201
63887,3,0.0,68,Switch,202
64158,2,1.0,97,Switch,202
64193,5,1.0,62,Switch,208
64301,4,0.0,68,Switch,205
64991,3,1.0,97,Switch,205
65153,1,1.0,110,Switch,202
65279,8,1.0,30,Switch,204
65327,2,1.0,7,Switch,206
65453,4,1.0,65,Switch,207
65615,4,1.0,77,Switch,205
65627,8,1.0,95,Switch,202
65717,8,1.0,86,Switch,202
65735,3,1.0,7,Switch,204
65783,5,1.0,80,Switch,206
66263,4,1.0,7,Switch,201
66311,8,0.0,64,Switch,204
66431,4,1.0,97,Switch,203
66455,3,1.0,75,Switch,202
66521,1,1.0,88,Switch,202
66551,5,1.0,65,Switch,205
66575,6,1.0,62,Switch,206
66581,5,1.0,77,Switch,207
66611,1,1.0,106,Switch,207
66695,4,1.0,53,Switch,203
66743,6,1.0,22,Switch,204
66857,2,1.0,91,Switch,201
67085,2,1.0,110,Switch,201
67091,5,1.0,63,Switch,208
67133,5,1.0,70,Switch,203
67223,1,0.0,60,Switch,205
67283,1,1.0,127,Switch,205
67553,8,1.0,94,Switch,207
67571,6,1.0,63,Switch,207
68051,2,0.0,44,Switch,208
68153,3,1.0,33,Switch,202
68267,5,1.0,7,Switch,207
68501,2,1.0,60,Switch,203
68579,7,1.0,63,Switch,204
68585,5,0.0,67,Switch,208
68675,1,1.0,74,Switch,201
68693,2,1.0,127,Switch,201
68963,6,0.0,67,Switch,203
69125,3,1.0,29,Switch,202
69227,1,1.0,115,Switch,206
69383,3,1.0,110,Switch,205
69413,5,1.0,68,Switch,208
69443,8,1.0,63,Switch,206
69539,2,1.0,74,Switch,207
69557,4,1.0,75,Switch,204
69569,6,1.0,65,Switch,204
69581,8,1.0,84,Switch,206
69635,2,1.0,115,Switch,208
70013,1,1.0,108,Switch,204
70067,5,1.0,97,Switch,204
70115,2,1.0,106,Switch,201
70151,4,1.0,33,Switch,205
70331,1,1.0,125,Switch,203
70355,2,1.0,88,Switch,208
70517,3,0.0,127,Switch,206
70553,5,1.0,53,Switch,205
70589,6,1.0,68,Switch,204
70625,6,1.0,7,Switch,202
70709,3,1.0,88,Switch,205
70721,3,1.0,60,Switch,207
70763,7,1.0,67,Switch,206
70787,7,1.0,65,Switch,203
70793,7,1.0,22,Switch,207
70799,1,1.0,57,Switch,203
70805,5,1.0,75,Switch,201
71093,4,1.0,88,Switch,206
71201,3,1.0,74,Switch,205
71261,7,1.0,62,Switch,203
71285,2,1.0,57,Switch,205
71393,4,0.0,60,Switch,201
71465,8,1.0,65,Switch,202
71489,3,1.0,115,Switch,202
71555,5,1.0,33,Switch,203
71561,4,0.0,110,Switch,208
71609,3,1.0,91,Switch,208
71693,2,1.0,125,Switch,207
71825,6,1.0,77,Switch,206
72011,6,1.0,75,Switch,203
72029,3,1.0,125,Switch,202
72035,4,1.0,74,Switch,208
72083,6,1.0,33,Switch,201
72239,4,1.0,115,Switch,205
72275,8,1.0,67,Switch,207
72317,6,1.0,97,Switch,206
72383,5,1.0,60,Switch,206
72659,7,1.0,7,Switch,203
72689,1,0.0,119,Switch,207
72707,2,1.0,108,Switch,206
72725,1,1.0,99,Switch,204
72731,6,1.0,80,Switch,204
72743,8,1.0,22,Switch,202
72773,3,1.0,106,Switch,203
72821,6,1.0,60,Switch,208
72869,3,1.0,57,Switch,207
72899,4,1.0,29,Switch,203
72989,7,0.0,68,Switch,203
73025,5,1.0,74,Switch,206
73049,4,1.0,106,Switch,205
73061,1,1.0,93,Switch,208
73157,8,1.0,62,Switch,207
73271,7,1.0,77,Switch,208
73301,8,0.0,68,Switch,207
73331,6,1.0,74,Switch,202
73427,7,1.0,97,Switch,207
73523,7,1.0,33,Switch,204
73613,7,1.0,60,Switch,204
73673,7,1.0,80,Switch,208
73685,4,1.0,125,Switch,206
73883,8,1.0,7,Switch,205
73889,4,1.0,57,Switch,208
73997,5,1.0,125,Switch,208
74273,8,1.0,80,Switch,205
74291,6,1.0,125,Switch,204
74333,5,1.0,110,Switch,206
74495,6,1.0,53,Switch,204
74513,1,1.0,121,Switch,205
74543,5,1.0,88,Switch,204
74669,2,1.0,93,Switch,201
74729,8,1.0,77,Switch,203
74795,5,1.0,29,Switch,205
74855,2,1.0,119,Switch,205
74993,7,1.0,74,Switch,204
75023,8,1.0,97,Switch,208
75077,1,1.0,98,Switch,201
75083,8,1.0,33,Switch,207
75335,7,1.0,53,Switch,206
75341,5,1.0,106,Switch,202
75497,6,1.0,29,Switch,201
75545,3,1.0,93,Switch,204
75689,1,0.0,117,Switch,206
75833,7,1.0,125,Switch,205
75989,7,1.0,75,Switch,207
76091,2,1.0,117,Switch,205
76193,7,1.0,29,Switch,204
76217,4,1.0,127,Switch,203
76229,3,1.0,119,Switch,208
76247,4,1.0,93,Switch,207
76391,3,1.0,117,Switch,208
76409,8,1.0,53,Switch,208
76469,5,1.0,127,Switch,204
76535,6,1.0,88,Switch,203
76601,1,1.0,111,Switch,203
76667,3,1.0,44,Switch,202
76865,1,1.0,105,Switch,207
77003,6,1.0,127,Switch,207
77063,1,1.0,120,Switch,202
77099,4,1.0,44,Switch,207
77375,8,1.0,125,Switch,201
77519,2,1.0,111,Switch,207
77543,2,1.0,105,Switch,206
77657,5,1.0,44,Switch,201
77759,4,0.0,119,Switch,202
77777,5,1.0,57,Switch,204
77909,1,1.0,135,Switch,204
77939,3,1.0,105,Switch,201
77981,2,1.0,99,Switch,205
78095,4,1.0,117,Switch,202
78137,2,1.0,120,Switch,204
78197,1,1.0,128,Switch,208
78239,1,1.0,113,Switch,204
78245,2,1.0,135,Switch,201
78275,3,1.0,99,Switch,208
78401,7,1.0,127,Switch,208
78425,3,1.0,18,Switch,205
78431,6,0.0,106,Switch,208
78437,1,0.0,72,Switch,207
78449,5,1.0,115,Switch,204
78467,8,1.0,75,Switch,208
78490,3,1.0,108,Switch,208
78545,3,1.0,135,Switch,203
78689,1,1.0,109,Switch,204
78719,2,1.0,121,Switch,201
78791,7,1.0,106,Switch,206
78845,1,1.0,114,Switch,204
78875,8,1.0,74,Switch,203
79163,3,1.0,121,Switch,202
79241,2,1.0,113,Switch,203
79445,8,1.0,127,Switch,202
79523,8,1.0,106,Switch,204
79553,4,1.0,18,Switch,208
79583,1,1.0,122,Switch,206
79637,3,1.0,120,Switch,207
79685,1,1.0,124,Switch,204
79787,2,1.0,114,Switch,208
79883,4,1.0,108,Switch,202
79937,4,1.0,99,Switch,202
79955,2,1.0,72,Switch,205
79997,1,1.0,89,Switch,202
80003,3,0.0,111,Switch,201
80009,4,1.0,135,Switch,207
80027,6,1.0,115,Switch,201
80117,7,1.0,88,Switch,201
80141,6,1.0,57,Switch,206
80201,2,1.0,122,Switch,204
80219,3,0.0,114,Switch,206
80237,5,1.0,93,Switch,205
80261,4,1.0,105,Switch,203
80267,5,1.0,18,Switch,204
80357,8,1.0,88,Switch,207
80513,2,1.0,128,Switch,204
80549,7,1.0,115,Switch,207
80567,6,1.0,18,Switch,202
80627,4,1.0,114,Switch,201
80669,2,1.0,124,Switch,201
