,user_id,grid_num,score_dif,time_constraint,in_distrib,time_x_distrib,push,time_x_push
194,22,207,-1,-0.5,-0.5,0.25,-0.5,0.25
195,24,208,-1,-0.5,-0.5,0.25,-0.5,0.25
196,24,102,-1,-0.5,-0.5,0.25,0.5,-0.25
197,24,205,0,-0.5,-0.5,0.25,-0.5,0.25
198,24,203,-1,-0.5,-0.5,0.25,-0.5,0.25
199,24,201,0,-0.5,-0.5,0.25,-0.5,0.25
200,24,204,0,-0.5,-0.5,0.25,-0.5,0.25
201,24,106,-1,-0.5,-0.5,0.25,0.5,-0.25
202,24,202,0,-0.5,-0.5,0.25,-0.5,0.25
203,24,103,-1,-0.5,-0.5,0.25,0.5,-0.25
204,24,206,0,-0.5,-0.5,0.25,-0.5,0.25
205,24,104,-1,-0.5,-0.5,0.25,0.5,-0.25
206,24,207,0,-0.5,-0.5,0.25,-0.5,0.25
207,24,108,-1,-0.5,-0.5,0.25,0.5,-0.25
208,24,105,-1,-0.5,-0.5,0.25,0.5,-0.25
209,24,101,-1,-0.5,-0.5,0.25,0.5,-0.25
210,28,101,-1,-0.5,-0.5,0.25,0.5,-0.25
211,28,104,0,-0.5,-0.5,0.25,0.5,-0.25
212,26,108,-1,-0.5,-0.5,0.25,0.5,-0.25
213,28,205,0,-0.5,-0.5,0.25,-0.5,0.25
214,26,201,0,-0.5,-0.5,0.25,-0.5,0.25
215,28,201,0,-0.5,-0.5,0.25,-0.5,0.25
216,26,203,0,-0.5,-0.5,0.25,-0.5,0.25
217,28,203,0,-0.5,-0.5,0.25,-0.5,0.25
218,28,207,0,-0.5,-0.5,0.25,-0.5,0.25
219,26,102,-1,-0.5,-0.5,0.25,0.5,-0.25
220,28,106,-1,-0.5,-0.5,0.25,0.5,-0.25
221,28,102,-1,-0.5,-0.5,0.25,0.5,-0.25
222,26,105,-1,-0.5,-0.5,0.25,0.5,-0.25
223,26,206,0,-0.5,-0.5,0.25,-0.5,0.25
224,28,108,0,-0.5,-0.5,0.25,0.5,-0.25
225,28,202,0,-0.5,-0.5,0.25,-0.5,0.25
226,26,207,0,-0.5,-0.5,0.25,-0.5,0.25
227,26,104,0,-0.5,-0.5,0.25,0.5,-0.25
228,28,204,0,-0.5,-0.5,0.25,-0.5,0.25
229,28,105,0,-0.5,-0.5,0.25,0.5,-0.25
230,28,206,0,-0.5,-0.5,0.25,-0.5,0.25
231,26,208,0,-0.5,-0.5,0.25,-0.5,0.25
232,28,107,-1,-0.5,-0.5,0.25,0.5,-0.25
233,26,107,-1,-0.5,-0.5,0.25,0.5,-0.25
234,27,206,0,-0.5,-0.5,0.25,-0.5,0.25
235,28,208,-1,-0.5,-0.5,0.25,-0.5,0.25
236,28,103,0,-0.5,-0.5,0.25,0.5,-0.25
237,26,101,0,-0.5,-0.5,0.25,0.5,-0.25
238,26,106,0,-0.5,-0.5,0.25,0.5,-0.25
239,26,204,0,-0.5,-0.5,0.25,-0.5,0.25
240,26,205,0,-0.5,-0.5,0.25,-0.5,0.25
241,26,202,0,-0.5,-0.5,0.25,-0.5,0.25
242,27,104,0,-0.5,-0.5,0.25,0.5,-0.25
243,27,202,0,-0.5,-0.5,0.25,-0.5,0.25
244,27,106,0,-0.5,-0.5,0.25,0.5,-0.25
245,27,101,0,-0.5,-0.5,0.25,0.5,-0.25
246,27,103,-1,-0.5,-0.5,0.25,0.5,-0.25
247,27,203,0,-0.5,-0.5,0.25,-0.5,0.25
248,27,107,0,-0.5,-0.5,0.25,0.5,-0.25
249,27,205,0,-0.5,-0.5,0.25,-0.5,0.25
250,27,201,0,-0.5,-0.5,0.25,-0.5,0.25
251,30,101,-1,-0.5,-0.5,0.25,0.5,-0.25
252,27,105,0,-0.5,-0.5,0.25,0.5,-0.25
253,30,208,0,-0.5,-0.5,0.25,-0.5,0.25
254,34,205,0,-0.5,-0.5,0.25,-0.5,0.25
255,30,202,0,-0.5,-0.5,0.25,-0.5,0.25
