,trial,score_dif,userid,gridtype,gridnum
58541,4,1.0,95,Push,104
58715,1,0.0,29,Push,105
58721,8,1.0,25,Push,107
58727,7,1.0,83,Push,104
58733,6,1.0,36,Push,106
59045,8,1.0,79,Push,104
59069,2,0.0,68,Push,108
59501,1,1.0,77,Push,104
59609,8,1.0,83,Push,105
59867,2,1.0,97,Push,101
60047,8,1.0,76,Push,103
60197,2,0.0,67,Push,108
60293,4,0.0,64,Push,108
60473,7,1.0,36,Push,102
60509,6,0.0,86,Push,102
60653,7,1.0,63,Push,106
60803,7,1.0,78,Push,103
60947,4,0.0,53,Push,103
61031,8,1.0,28,Push,104
61049,3,1.0,97,Push,104
61073,7,0.0,38,Push,101
61169,3,1.0,68,Push,107
61307,6,0.0,94,Push,105
61319,2,0.0,29,Push,104
61487,5,1.0,95,Push,103
61865,7,1.0,86,Push,108
61889,3,1.0,65,Push,105
62093,4,1.0,97,Push,107
62117,3,1.0,29,Push,101
62135,5,0.0,64,Push,103
62285,6,1.0,95,Push,108
62345,7,0.0,30,Push,107
62585,5,1.0,97,Push,108
62639,1,0.0,44,Push,104
62777,8,0.0,38,Push,104
62795,3,1.0,84,Push,107
62801,5,1.0,56,Push,101
62825,1,1.0,60,Push,106
62939,4,1.0,68,Push,106
63059,7,1.0,95,Push,101
63185,3,1.0,80,Push,107
63221,6,1.0,97,Push,103
63227,4,1.0,84,Push,104
63437,8,1.0,95,Push,102
63467,5,0.0,68,Push,105
63521,4,1.0,65,Push,101
63611,3,1.0,18,Push,107
63677,5,1.0,22,Push,101
63947,8,1.0,41,Push,105
63995,3,0.0,67,Push,107
64013,8,1.0,78,Push,108
64133,1,0.0,75,Push,101
64163,2,0.0,60,Push,108
64241,8,0.0,36,Push,103
64307,1,0.0,106,Push,103
64373,6,0.0,64,Push,106
64445,8,1.0,86,Push,104
64499,2,1.0,44,Push,105
64505,1,0.0,91,Push,101
64667,1,0.0,110,Push,103
64733,1,0.0,88,Push,104
65051,7,0.0,64,Push,102
65093,3,0.0,33,Push,108
65105,2,0.0,77,Push,107
65123,2,0.0,88,Push,102
65507,4,1.0,81,Push,106
65543,3,1.0,62,Push,108
65867,5,1.0,84,Push,108
65933,6,1.0,22,Push,107
65939,2,1.0,75,Push,105
66017,5,1.0,65,Push,106
66023,4,0.0,33,Push,104
66209,8,0.0,63,Push,101
66221,6,1.0,56,Push,108
66371,3,0.0,60,Push,107
66419,7,1.0,94,Push,107
66635,5,1.0,7,Push,104
66683,8,1.0,30,Push,102
66731,7,1.0,56,Push,105
66755,6,1.0,84,Push,101
66875,1,0.0,127,Push,106
66929,4,1.0,62,Push,105
66947,8,0.0,64,Push,104
67043,6,1.0,65,Push,102
67163,8,1.0,94,Push,101
67259,1,0.0,74,Push,104
67355,3,0.0,75,Push,103
67415,4,1.0,80,Push,106
67457,6,1.0,7,Push,106
67505,7,1.0,22,Push,105
67523,7,1.0,84,Push,103
67673,5,0.0,33,Push,102
67703,4,0.0,67,Push,101
67793,5,1.0,81,Push,103
67811,8,1.0,56,Push,107
67895,7,0.0,7,Push,102
67979,2,1.0,91,Push,104
67985,2,0.0,106,Push,101
68135,5,0.0,67,Push,102
68147,6,1.0,81,Push,108
68165,4,1.0,29,Push,107
68369,5,1.0,80,Push,104
68483,3,0.0,88,Push,107
68555,2,1.0,110,Push,105
68699,7,1.0,65,Push,108
68729,1,1.0,93,Push,103
68795,5,1.0,62,Push,102
68909,4,0.0,88,Push,103
68933,7,1.0,81,Push,102
68987,6,0.0,68,Push,104
69023,3,1.0,77,Push,105
69077,4,1.0,18,Push,102
69101,8,1.0,65,Push,104
69137,8,1.0,84,Push,106
69215,3,0.0,44,Push,102
69305,3,0.0,106,Push,107
69653,7,1.0,97,Push,106
69683,5,0.0,53,Push,102
69707,6,0.0,33,Push,101
69713,6,1.0,62,Push,101
69899,8,1.0,81,Push,107
69923,7,0.0,68,Push,103
70073,7,1.0,62,Push,103
70103,1,0.0,115,Push,107
70217,4,0.0,60,Push,103
70439,3,0.0,110,Push,104
70445,8,1.0,22,Push,103
70661,4,1.0,77,Push,101
70751,2,0.0,74,Push,101
70781,1,1.0,108,Push,108
70895,2,0.0,127,Push,105
70913,4,1.0,44,Push,106
71027,5,1.0,29,Push,106
71141,3,0.0,91,Push,107
71153,4,1.0,110,Push,108
71165,2,1.0,108,Push,101
71345,1,0.0,125,Push,105
71501,6,0.0,67,Push,105
71519,6,0.0,53,Push,106
71537,3,1.0,127,Push,101
71597,1,1.0,99,Push,107
71759,4,0.0,106,Push,106
71987,1,0.0,57,Push,108
72053,5,0.0,88,Push,108
72137,8,1.0,62,Push,107
72263,4,1.0,127,Push,108
72311,5,1.0,77,Push,102
72641,8,0.0,68,Push,102
72647,5,1.0,127,Push,102
72677,3,0.0,74,Push,108
72887,6,1.0,88,Push,106
73013,7,0.0,67,Push,104
73127,7,0.0,53,Push,108
73133,7,0.0,33,Push,105
73277,1,1.0,119,Push,105
73451,2,1.0,93,Push,104
73493,2,1.0,99,Push,103
73499,1,0.0,105,Push,102
73637,6,1.0,77,Push,106
73769,3,1.0,108,Push,105
73829,3,1.0,93,Push,108
73937,3,1.0,99,Push,106
73949,7,1.0,77,Push,108
73961,6,1.0,80,Push,103
74171,1,1.0,121,Push,105
74225,8,1.0,7,Push,105
74501,4,1.0,75,Push,107
74831,7,1.0,80,Push,108
74903,4,1.0,108,Push,107
74957,8,1.0,53,Push,107
75011,2,1.0,115,Push,101
75035,5,0.0,44,Push,101
75095,5,0.0,106,Push,108
75113,8,0.0,67,Push,103
75149,7,1.0,88,Push,101
75197,2,0.0,119,Push,104
75359,8,1.0,97,Push,102
75395,8,1.0,80,Push,105
75635,5,1.0,108,Push,104
75785,3,0.0,115,Push,103
75869,8,0.0,33,Push,107
75911,6,1.0,106,Push,104
75941,8,1.0,88,Push,105
75953,6,0.0,127,Push,103
75971,2,0.0,57,Push,103
76025,1,0.0,122,Push,108
76103,1,0.0,111,Push,108
76115,2,0.0,125,Push,102
76127,1,0.0,120,Push,101
76139,8,1.0,77,Push,103
76181,4,0.0,74,Push,105
76235,5,1.0,75,Push,104
76325,6,1.0,44,Push,103
76361,3,1.0,57,Push,105
76541,2,0.0,122,Push,104
76607,1,1.0,98,Push,105
76619,4,1.0,115,Push,106
76625,5,0.0,74,Push,102
76913,6,1.0,108,Push,103
76943,5,1.0,115,Push,104
76985,2,0.0,98,Push,101
77015,1,1.0,72,Push,107
77051,3,0.0,125,Push,106
77147,3,0.0,122,Push,101
77200,1,1.0,124,Push,106
77243,6,1.0,115,Push,108
77321,4,1.0,57,Push,101
77351,7,1.0,108,Push,106
77369,7,0.0,106,Push,102
77489,7,1.0,115,Push,105
77495,6,1.0,29,Push,102
77573,7,1.0,127,Push,104
77663,4,0.0,125,Push,107
77693,4,0.0,99,Push,108
77753,6,0.0,75,Push,102
78185,2,0.0,124,Push,107
78263,6,0.0,74,Push,107
78329,3,0.0,119,Push,107
78497,1,0.0,128,Push,103
78539,7,0.0,74,Push,103
78611,5,0.0,57,Push,102
78653,8,1.0,127,Push,107
78755,5,0.0,125,Push,108
78761,1,0.0,96,Push,108
78833,2,1.0,105,Push,106
78893,4,1.0,122,Push,106
78959,5,1.0,99,Push,105
79043,2,1.0,72,Push,104
79145,1,0.0,117,Push,106
79175,7,1.0,75,Push,108
79217,8,1.0,106,Push,105
79421,5,1.0,110,Push,101
79481,2,1.0,117,Push,103
79511,7,1.0,44,Push,107
79703,7,1.0,29,Push,103
79751,6,1.0,57,Push,107
79757,3,0.0,98,Push,103
79841,6,0.0,125,Push,103
79925,5,1.0,18,Push,108
79943,4,1.0,93,Push,106
79949,8,1.0,44,Push,108
80015,2,0.0,120,Push,103
80045,3,0.0,124,Push,103
80063,1,0.0,109,Push,102
80081,8,1.0,29,Push,108
80153,6,0.0,110,Push,107
80195,8,1.0,74,Push,106
80249,5,0.0,60,Push,101
80327,7,0.0,125,Push,101
80405,6,1.0,99,Push,101
80411,3,1.0,117,Push,102
80441,8,1.0,75,Push,106
80453,1,0.0,135,Push,104
80477,1,0.0,89,Push,102
80543,2,1.0,109,Push,101
80597,3,1.0,105,Push,108
80621,5,1.0,93,Push,107
80723,4,0.0,98,Push,108
80867,3,1.0,109,Push,105
80879,5,0.0,122,Push,107
81029,1,0.0,114,Push,105
81059,2,0.0,111,Push,102
81065,5,0.0,98,Push,104
81095,8,0.0,125,Push,104
81107,2,0.0,128,Push,101
81412,8,0.0,115,Push,102
81533,6,1.0,122,Push,105
81539,3,0.0,120,Push,102
81635,4,0.0,119,Push,103
81665,4,1.0,105,Push,107
81749,2,0.0,121,Push,103
81761,2,0.0,114,Push,101
81827,4,0.0,124,Push,101
81917,6,1.0,18,Push,106
81959,4,0.0,91,Push,108
82127,5,1.0,124,Push,104
82145,5,0.0,119,Push,106
82241,7,1.0,18,Push,103
82373,6,1.0,119,Push,101
82499,3,0.0,128,Push,106
82529,8,1.0,18,Push,104
82547,3,1.0,111,Push,107
82583,4,0.0,120,Push,106
82607,1,1.0,113,Push,105
82625,7,1.0,119,Push,108
82673,5,0.0,91,Push,105
82787,6,0.0,98,Push,102
82799,6,1.0,93,Push,101
83057,4,1.0,117,Push,101
83225,2,0.0,135,Push,108
83255,2,1.0,113,Push,106
83261,7,1.0,122,Push,103
83357,6,1.0,124,Push,105
83519,6,1.0,91,Push,106
83579,7,0.0,110,Push,102
83615,6,0.0,60,Push,102
83627,7,1.0,99,Push,102
83783,3,1.0,113,Push,102
83801,3,1.0,135,Push,101
83939,8,0.0,122,Push,102
83945,7,1.0,60,Push,104
83975,5,0.0,120,Push,107
83981,4,1.0,111,Push,106
84023,1,0.0,138,Push,102
84065,5,1.0,117,Push,104
84113,2,1.0,96,Push,105
84131,8,1.0,108,Push,102
84191,3,0.0,121,Push,101
84287,1,1.0,133,Push,101
84299,2,0.0,138,Push,103
84305,4,1.0,135,Push,106
84395,7,1.0,93,Push,102
84419,7,1.0,124,Push,102
84443,4,1.0,113,Push,104
84479,3,1.0,96,Push,106
84503,4,0.0,121,Push,102
84569,2,0.0,133,Push,108
84695,7,1.0,57,Push,104
84707,8,1.0,110,Push,106
84731,8,1.0,93,Push,105
84827,8,1.0,60,Push,105
84845,5,0.0,135,Push,103
84911,8,1.0,124,Push,108
84941,6,0.0,120,Push,104
85001,3,0.0,114,Push,108
85019,8,0.0,119,Push,102
85133,5,0.0,111,Push,103
85271,7,0.0,120,Push,108
85391,3,1.0,72,Push,101
85415,7,0.0,98,Push,106
85475,1,0.0,137,Push,101
85553,8,1.0,99,Push,104
85625,6,0.0,135,Push,102
85685,4,1.0,114,Push,104
85871,6,1.0,111,Push,105
